P_CODE,FOKONTANY_,FKT_BNGRC_,C_FKT_BNGR,COM_PCODE,C_CODE_BNG,COMMUNE_NA,BNGRC_COM_,DIST_PCODE,DISTRICT_N,BNGRC_D_CO,BNGRC_DIS_,DIS_FKT,REG_PCODE,REGION_NAM,BNGRC_R_CO,BNGRC_REG_,REG_FKT_SH,PROV_CODE,OLD_PROVIN,MILIEU,OLD_DISTRI,SOURCE,Shape_Leng,Shape_Area,POP_GEOAPP,POP_GEOA_1,POP_GEOA_2,POP_GEOA_3,POP_GEOA_4,POP_GEOA_5,POP_GEOA_6,POP_GEOA_7,POP_GEOA_8,POP_GEOA_9,POP_GEOA10,POP_GEOA11,POP_GEOA12,POP_GEOA13,POP_GEOA14,POP_GEOA15,POP_GEOA16,POP_GEOA17,POP_GEOA18,name,liste_hopital,nb_hopital
MDG11102099017,Amoronakona,AMORONAKONA,"102099017",MDG11102099,"102099",Ambohimangakely,AMBOHIMANGAKELY,MDG11102,Antananarivo Avaradrano,133.00000000000,ANTANANARIVO AVARADRANO,ANTANANARIVO AVARADRANO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.09707722689,0.00028185619,MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,MG11102099,Ambohimangakely,MG11102099017,1383.000000000000000,1421.000000000000000,1460.000000000000000,1500.000000000000000,1541.000000000000000,1583.000000000000000,1626.000000000000000,1670.000000000000000,1715.000000000000000,1761.000000000000000,CLINIQUE HANITRA,"CLINIQUE HANITRA, ",2
MDG11101003016,Ankaditapaka Avaratra,ANKADITAPAKA AVARATRA,"101003016",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01375438872,0.00000832860,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003016,2005.000000000000000,2060.000000000000000,2117.000000000000000,2175.000000000000000,2234.000000000000000,2295.000000000000000,2357.000000000000000,2420.000000000000000,2486.000000000000000,2553.000000000000000,Clinique des soeurs,"Clinique des soeurs, , Pharmacie Herizo, Pharmacie Ralison",4
MDG11101006024,Antanety Atsimo,ANTANETY ATSIMO,"101006024",MDG11101006,"101006",6e Arrondissement,6E ARRONDISSEMENT,MDG11101006,6e Arrondissement,106.00000000000,6E ARRONDISSEMENT,6E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01682618431,0.00001029319,MG,Madagascar,MG11,Analamanga,MG11101006A,6e Arrondissement,MG11101006,6e Arrondissement,MG11101006024,6344.000000000000000,6519.000000000000000,6698.000000000000000,6882.000000000000000,7069.000000000000000,7261.000000000000000,7457.000000000000000,7658.000000000000000,7865.000000000000000,8078.000000000000000,CSB II Ambohimanarina,"CSB II Ambohimanarina, , , Pharmacie Ambohimanarina",4
MDG11117070003,Antanety,ANTANETY,"117070003",MDG11117070,"117070",Bemasoandro,BEMASOANDRO,MDG11117,Antananarivo Atsimondrano,132.00000000000,ANTANANARIVO ATSIMONDRANO,ANTANANARIVO ATSIMONDRANO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.01661389041,0.00001008846,MG,Madagascar,MG22,Amoron I Mania,MG22204,Fandriana,MG22204090,Tsarazaza,MG22204090011,977.000000000000000,1004.000000000000000,1032.000000000000000,1060.000000000000000,1089.000000000000000,1118.000000000000000,1148.000000000000000,1179.000000000000000,1211.000000000000000,1244.000000000000000,Docteur Ferdinand,Docteur Ferdinand,1
MDG11102039001,Ankadikely,ANKADIKELY,"102039001",MDG11102039,"102039",Ankadikely Ilafy,ANKADIKELY ILAFY,MDG11102,Antananarivo Avaradrano,133.00000000000,ANTANANARIVO AVARADRANO,ANTANANARIVO AVARADRANO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.06947922626,0.00018707704,MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,MG11102039,Ankadikely Ilafy,MG11102039001,7895.000000000000000,8113.000000000000000,8336.000000000000000,8565.000000000000000,8798.000000000000000,9036.000000000000000,9280.000000000000000,9531.000000000000000,9788.000000000000000,10052.000000000000000,Dr Vololona,"Pharmacie Hery, Dr Vololona, Dokotera Maurice, Dokotera Tovo, Pharmacie Fitiavana, , Dr Mamy, Laboratoire d'Anosy Avaratra annexe Ankadikely, Dr. Razanakiniaina H. Sylvie",9
MDG11101002022,Ambohitsoa Ankazolava Antanamb,AMBOHITSOA ANKAZOLAVA ANTANAMB,"101002022",MDG11101002,"101002",2e Arrondissement,2E ARRONDISSEMENT,MDG11101002,2e Arrondissement,102.00000000000,2E ARRONDISSEMENT,2E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.03430762224,0.00003348966,MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002022,11445.000000000000000,11761.000000000000000,12084.000000000000000,12416.000000000000000,12754.000000000000000,13099.000000000000000,13453.000000000000000,13816.000000000000000,14189.000000000000000,14572.000000000000000,Centre de Santé de Base Niveau II Ambohitsoa,Centre de Santé de Base Niveau II Ambohitsoa,1
MDG11102079001,Atsinanantsena,ATSINANANTSENA,"102079001",MDG11102079,"102079",Sabotsy Namehana,SABOTSY NAMEHANA,MDG11102,Antananarivo Avaradrano,133.00000000000,ANTANANARIVO AVARADRANO,ANTANANARIVO AVARADRANO,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.03272421253,0.00003474131,MG,Madagascar,MG54,Menabe,MG54510,Belo Sur Tsiribihina,MG54510011,Belo Sur Tsiribihina,MG54510011001,2239.000000000000000,2301.000000000000000,2364.000000000000000,2429.000000000000000,2495.000000000000000,2563.000000000000000,2632.000000000000000,2703.000000000000000,2776.000000000000000,2851.000000000000000,,", Homeopharma SabNam, , CSB 2 Sabotsy Namehana, Pharmacie Namehana, Dépôt de médicaments",6
MDG11101001001,Antanimalalaka Analakely,ANTANIMALALAKA ANALAKELY,"101001001",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.02253128755,0.00001783760,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001001,1058.000000000000000,1087.000000000000000,1117.000000000000000,1148.000000000000000,1179.000000000000000,1211.000000000000000,1244.000000000000000,1277.000000000000000,1312.000000000000000,1347.000000000000000,Centre de Santé Maternelle et Infantile Tsaralàlana,"Pharmacie Rakotoarivony, Centre de Santé Maternelle et Infantile Tsaralàlana, Pharmacie du Progrès de l'Île Rouge, Pharmacie Razafimandranto, Pharmacie d'Analakely, Arbiochem Analakely, Pharmacie Iarivo",7
MDG11101004012,Mahamasina Atsimo,MAHAMASINA ATSIMO,"101004012",MDG11101004,"101004",4e Arrondissement,4E ARRONDISSEMENT,MDG11101004,4e Arrondissement,104.00000000000,4E ARRONDISSEMENT,4E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.03736968657,0.00004525136,MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004012,7254.000000000000000,7454.000000000000000,7659.000000000000000,7869.000000000000000,8083.000000000000000,8303.000000000000000,8527.000000000000000,8757.000000000000000,8993.000000000000000,9236.000000000000000,Pharmacie de Mahamasina,"Pharmacie de Mahamasina, CSB II Mahamasina",2
MDG11106012001,Ambatolaona Ouest,AMBATOLAONA OUEST,"106012001",MDG11106012,"106012",Ambatolaona,AMBATOLAONA,MDG11106,Manjakandriana,184.00000000000,MANJAKANDRIANA,MANJAKANDRIANA,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"2",,"BNGRC (National Disaster Management Office), Fokontany (adm4)  polygons cleaned and merged by OCHA in 2017",0.18731028429,0.00181023275,MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,MG11106012,Ambatolaona,MG11106012001,800.000000000000000,822.000000000000000,845.000000000000000,868.000000000000000,891.000000000000000,916.000000000000000,940.000000000000000,966.000000000000000,992.000000000000000,1019.000000000000000,Ambatolaona,Ambatolaona,1
MDG11101003016,Ankaditapaka Avaratra,ANKADITAPAKA AVARATRA,"101003016",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01375438872,0.00000832860,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003016,2005.000000000000000,2060.000000000000000,2117.000000000000000,2175.000000000000000,2234.000000000000000,2295.000000000000000,2357.000000000000000,2420.000000000000000,2486.000000000000000,2553.000000000000000,Pharmacie Herizo,"Clinique des soeurs, , Pharmacie Herizo, Pharmacie Ralison",4
MDG11101003028,Behoririka,BEHORIRIKA,"101003028",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01997393944,0.00001248861,MG,Madagascar,MG11,Analamanga,MG11117,Antananarivo Atsimondrano,MG11117270,Ampanefy,MG11117270002,784.000000000000000,806.000000000000000,828.000000000000000,850.000000000000000,874.000000000000000,897.000000000000000,922.000000000000000,946.000000000000000,972.000000000000000,998.000000000000000,,", Pharmacie Soandry, Pharmacie Soandry",3
MDG11101003029,Ampandrana Andrefana,AMPANDRANA ANDREFANA,"101003029",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01038753319,0.00000639792,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003029,2638.000000000000000,2711.000000000000000,2785.000000000000000,2862.000000000000000,2940.000000000000000,3019.000000000000000,3101.000000000000000,3185.000000000000000,3271.000000000000000,3359.000000000000000,,"Clinique Appolon, , ",3
MDG11101003001,Antaninandro Ampandrana,ANTANINANDRO AMPANDRANA,"101003001",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01251593146,0.00000840662,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003001,3701.000000000000000,3803.000000000000000,3908.000000000000000,4015.000000000000000,4124.000000000000000,4236.000000000000000,4350.000000000000000,4468.000000000000000,4588.000000000000000,4712.000000000000000,,", Dr Rasamoely - Chirurgien Dentiste",2
MDG11101001038,Isoraka Ampatsakana,ISORAKA AMPATSAKANA,"101001038",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.02143517737,0.00001516209,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001038,3461.000000000000000,3557.000000000000000,3654.000000000000000,3755.000000000000000,3857.000000000000000,3961.000000000000000,4068.000000000000000,4178.000000000000000,4291.000000000000000,4407.000000000000000,M pharmacie (Isotry),"Pharmacie Isoraka, M pharmacie (Isotry), CSB II Isotry",3
MDG11101003034,Antsakaviro Ambodirotra,ANTSAKAVIRO AMBODIROTRA,"101003034",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01830203584,0.00001776058,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003034,2340.000000000000000,2405.000000000000000,2471.000000000000000,2538.000000000000000,2608.000000000000000,2678.000000000000000,2751.000000000000000,2825.000000000000000,2901.000000000000000,2979.000000000000000,Pharmacie Mahasoava,"Cabinet Dentaire Docteur ANDRIAMASY Eddy, Centre de Neurologie d'Antananarivo, , Pharmacie Mahasoava, Vaniala",5
MDG11101001008,Amboasarikely Ambatomena,AMBOASARIKELY AMBATOMENA,"101001008",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01702854355,0.00001454044,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001008,2322.000000000000000,2386.000000000000000,2452.000000000000000,2519.000000000000000,2587.000000000000000,2658.000000000000000,2729.000000000000000,2803.000000000000000,2879.000000000000000,2956.000000000000000,Pharmacie d'Isoraka,"Cabinet Dentaire Dr Allain RAZAKATIANA, AromBio Shop & Massage, , Pharmacie d'Isoraka, , H. Labo, Dentiste Dr Hanitra RAZAFIMANJATO, ",8
MDG11101001037,Faravohitra Mandrosoa,FARAVOHITRA MANDROSOA,"101001037",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.02574749246,0.00001336222,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001037,3715.000000000000000,3818.000000000000000,3923.000000000000000,4030.000000000000000,4140.000000000000000,4252.000000000000000,4367.000000000000000,4485.000000000000000,4606.000000000000000,4730.000000000000000,Pharmacie Pergolla,"Clinique Saint Thomas, Pharmacie Pergolla, Madaphar",3
MDG11101003019,Mahavoky,MAHAVOKY,"101003019",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01627269821,0.00000865872,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003019,5581.000000000000000,5735.000000000000000,5893.000000000000000,6054.000000000000000,6219.000000000000000,6388.000000000000000,6560.000000000000000,6737.000000000000000,6919.000000000000000,7106.000000000000000,Pharmacie de Mahavoky,"Pharmacie de Mahavoky, ",2
MDG11101001001,Antanimalalaka Analakely,ANTANIMALALAKA ANALAKELY,"101001001",MDG11101001,"101001",1er Arrondissement,1ER ARRONDISSEMENT,MDG11101001,1er Arrondissement,101.00000000000,1ER ARRONDISSEMENT,1ER ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.02253128755,0.00001783760,MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001001,1058.000000000000000,1087.000000000000000,1117.000000000000000,1148.000000000000000,1179.000000000000000,1211.000000000000000,1244.000000000000000,1277.000000000000000,1312.000000000000000,1347.000000000000000,Arbiochem Analakely,"Pharmacie Rakotoarivony, Centre de Santé Maternelle et Infantile Tsaralàlana, Pharmacie du Progrès de l'Île Rouge, Pharmacie Razafimandranto, Pharmacie d'Analakely, Arbiochem Analakely, Pharmacie Iarivo",7
MDG11101003020,Andravoahangy Atsinanana,ANDRAVOAHANGY ATSINANANA,"101003020",MDG11101003,"101003",3e Arrondissement,3E ARRONDISSEMENT,MDG11101003,3e Arrondissement,103.00000000000,3E ARRONDISSEMENT,3E ARRONDISSEMENT,MDG11,Analamanga,4.00000000000,ANALAMANGA,ANALAMANGA,"1",ANTANANARIVO,"1",Antananarivo Renivohitra (MDG11101),Note that Communes (admin 3)  have become the District (admin 2) level in the old Antananarivo- Renivohitra district.  Therefore district codes have been made the same as the Commune Codes for Tana 1-6 (BNGRC district codes already include this change).*,0.01235002058,0.00000809318,MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003020,5849.000000000000000,6010.000000000000000,6176.000000000000000,6345.000000000000000,6518.000000000000000,6694.000000000000000,6875.000000000000000,7061.000000000000000,7251.000000000000000,7447.000000000000000,HOMI Tana,"Pharmacie Ny Aina, Pharmacie Andravoahangy, HOMI Tana",3
